"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.897212333E0,7.492147051E-2,-3.905998528E-2,9.569319248E-2
6.917209333E0,1.053386863E-1,6.091863155E-2,1.657685637E-2
6.937205333E0,6.177883007E-2,1.165467024E-2,4.048846006E-2
6.957202333E0,2.093374101E-1,6.910356402E-2,-1.227944523E-1
6.977199333E0,7.135379188E-2,1.603306532E-3,-1.887609851E-1
6.997195333E0,6.091293052E-2,-4.677187800E-3,-3.228072345E-2
7.017192333E0,1.979428679E-2,4.235138297E-3,2.091315150E-1
7.037188333E0,1.144792731E-1,-3.205092788E-2,1.064304346E-1
7.057185333E0,5.784562737E-2,-4.034169495E-2,-1.476310855E-1
7.077181333E0,9.666551135E-2,1.748960674E-2,-3.051732016E-1
7.097178333E0,1.996363677E-2,1.240369856E-2,-1.848924673E-1
7.117174333E0,1.404778942E-2,6.587356210E-2,4.914643228E-2
7.137170333E0,-7.834676944E-2,-3.089317918E-2,1.029133344E-1
7.157167333E0,8.146399319E-2,2.271935642E-2,-3.120074272E-2
7.177163333E0,1.202580763E-1,-1.425200343E-2,-2.213521957E-2
7.197160333E0,8.667799193E-2,-6.035729885E-2,-1.129097342E-2
7.217156333E0,9.395028368E-2,-3.308939338E-2,6.173314869E-2
7.237153333E0,1.621877289E-1,6.267571986E-2,1.542600739E-1
7.257149333E0,8.128806509E-2,8.066233993E-3,1.614299297E-1
7.277146333E0,1.186279457E-1,2.520442307E-2,-2.863615394E-2
7.297142333E0,1.282541437E-1,3.293795049E-2,1.341117382E-2
7.317139333E0,1.805139991E-1,-6.290142238E-2,-1.105170536E-1
7.337135333E0,1.619859999E-1,-1.307671309E-2,-2.061915350E-1
7.357132333E0,5.798413329E-2,-5.917499185E-2,-1.042277884E-1
7.377128333E0,-2.086871266E-3,-2.284273267E-2,-1.113251388E-2
7.397125333E0,7.252952076E-2,3.118378580E-2,4.093752623E-2
7.417121333E0,6.999899201E-2,1.314395607E-2,-5.355113983E-2
7.437118333E0,-3.630967431E-2,2.339470983E-3,6.041577101E-2
7.457114333E0,3.192616291E-2,3.954355001E-2,9.315783978E-2
7.477111333E0,6.938028350E-2,-2.865778863E-2,6.588467181E-2
7.497107333E0,1.102296630E-1,-3.435239196E-3,1.004393774E-1
7.517104333E0,9.751726795E-2,-2.168147564E-3,-1.182657838E-2
7.537100333E0,4.340110436E-2,2.503193021E-3,-1.151065332E-1
7.557097333E0,6.393692773E-2,3.952717781E-4,-9.653811514E-2
7.577093333E0,8.024546999E-2,-2.063073099E-2,-1.480210948E-1
7.597090333E0,1.916593038E-2,-5.506381452E-2,-7.602257431E-2
